anger,disgust,fear,happiness,neutral,sadness,surprise
4.918,2.418,17.547,3.19,14.738,56.271,0.918
0.167,47.799,0.176,48.992,0.987,1.656,0.225
0.001,0.001,0.001,99.95,0.001,0.001,0.046
0.047,0.047,0.047,4.461,93.175,0.047,2.177
0.23,0.052,28.474,0.62,0.919,1.098,68.606
0,0,0.008,99.99,0,0.001,0
0.008,0.008,0.032,0.425,99.432,0.008,0.088
0.004,13.262,0.005,86.666,0.026,0.032,0.004
0.001,0,0,0.037,99.959,0.001,0
0.046,0.046,1.727,0.046,46.202,0.663,51.269
0.004,0.018,0.004,99.352,0.603,0.004,0.015
0.739,0.157,0.057,0.057,3.375,89.029,6.586
0.397,0.102,0.208,71.324,10.781,9.569,7.619
0.001,0.001,0.028,1.752,98.158,0.059,0.001
0.095,0.588,0.009,6.761,0.009,0.009,92.53
0,0,0,0.003,99.987,0.008,0.003
4.143,0.011,0.256,95.511,0.011,0.033,0.035
0.003,0.114,0.073,0.612,99.185,0.009,0.003
0,0.014,0.001,99.968,0,0.013,0.004
0.002,0.584,0.002,0.06,99.314,0.003,0.036
0.002,0.014,0.007,99.764,0.005,0.002,0.207
0.939,0.039,0.115,0.65,96.917,0.039,1.3
0.207,2.621,40.173,21.055,22.718,0.207,13.017
0.038,0.009,0.007,0.247,98.688,0.007,1.005
0.162,0.005,0.555,99.232,0.005,0.026,0.014
0.03,0.126,0.03,0.212,22.096,76.34,1.167
0.133,0.004,0.004,0.007,99.001,0.846,0.004
11.146,0.547,0.547,34.809,19.679,30.63,2.643
0.091,0.149,1.28,0.344,16.636,2.682,78.817
0,0,0,0.01,99.988,0,0.001
0.068,0.035,0.384,69.076,30.3,0.035,0.102
0.012,0,0,0,99.987,0.001,0
0.659,3.193,0.12,56,38.52,1.386,0.12
0.225,0.893,0.511,57.04,38.618,2.345,0.368
0.052,0.07,0.052,11.205,9.108,0.253,79.258
0.082,0.006,0.006,1.198,98.637,0.015,0.055
0,0,0,0,100,0,0
0,0,0,2.954,97.045,0,0
0.002,0.003,0.008,99.384,0.6,0.002,0.002
0.037,0.461,1.094,46.712,2.948,48.711,0.037
0.001,0.001,0.001,11.012,88.908,0.002,0.074
0.046,0.046,0.048,86.719,10.657,0.499,1.986
0.066,0.016,0.096,99.796,0.002,0.002,0.022
0.084,0.02,0.648,95.977,0.821,2.43,0.02
0.04,0.003,0.072,99.846,0.01,0.003,0.026
0.014,0.091,0.04,0.054,99.328,0.429,0.044
0.579,0.238,1.104,0.105,97.404,0.502,0.068
0,0,0.001,0.028,99.901,0.017,0.054
0.043,0.016,0.088,0.016,77.813,20.496,1.528
0.008,0.008,0.008,70.367,29.239,0.008,0.363
0.001,0.003,0.001,0.053,99.937,0.001,0.005
0,0,0.002,98.456,0,1.54,0
0.002,0.002,0.047,99,0.017,0.917,0.015
0.001,0.001,0.005,98.86,1.13,0.001,0.002
0.049,0.049,0.143,10.122,87.535,0.417,1.684
0.041,0.041,0.041,0.479,94.769,0.364,4.265
0.001,0.001,0.041,0.001,99.745,0.211,0.001
0.018,0.002,0.002,0.036,99.75,0.176,0.017
0.023,0.071,0.178,99.649,0.059,0.009,0.011
84.981,0.089,0.021,14.427,0.259,0.021,0.201
0.003,0.001,0.003,0.002,99.901,0.001,0.09
0.002,0.001,0.001,0.161,99.827,0.001,0.007
0.018,0.018,0.018,0.662,98.147,0.092,1.045
0.031,0.019,0.323,1.282,69.611,28.695,0.04
0.002,0.002,0.002,1.101,98.696,0.002,0.195
0.009,0,0,99.987,0,0.003,0
0.021,0.004,0.004,96.255,3.69,0.021,0.005
0.311,0.071,0.034,0.097,98.046,0.033,1.409
0.014,0.01,0.021,0.867,21.057,78.005,0.026
0,0,0.013,97.418,2.401,0.167,0
0.08,0.005,0.005,0.603,99.287,0.005,0.016
0.49,0.359,0.362,25.017,50.293,22.475,1.004
0.506,0.162,0.162,1.483,5.968,48.182,43.536
0.004,0.004,0.004,98.687,1.201,0.085,0.015
0.019,0.022,0.019,6.613,92.967,0.216,0.143
0,0,0,0.001,99.861,0.068,0.07
0.004,0.004,0.124,98.804,0.754,0.004,0.307
0.336,9.768,0.336,2.345,27.097,11.156,48.963
0.027,0.767,0.603,0.045,89.738,0.071,8.749
0,0,0,0.006,99.932,0,0.061
0,0,0,99.945,0,0,0.054
0.026,0.014,0.033,5.754,10.087,84.018,0.069
0,0,0,99.999,0,0,0
0.001,0.001,0.012,98.963,0.004,1.017,0.001
0,0,0,0.525,99.474,0,0
0,0.007,0,99.977,0.01,0,0.004
0.01,0.01,0.01,96.944,0.743,0.936,1.349
4.777,0.171,12.813,37.028,44.553,0.33,0.327
0.008,0.001,0.001,0.005,99.954,0.001,0.029
0.024,0.005,0.006,24.01,75.942,0.005,0.008
0.003,0.003,0.12,99.821,0.032,0.017,0.003
0.905,0.173,0.83,3.058,88.831,2.293,3.911
63.307,0.627,7.03,0.183,22.625,6.003,0.225
0.009,0.009,0.061,99.692,0.158,0.009,0.062
0,0.001,0,99.999,0,0,0
0.09,0.09,0.276,39.357,45.215,14.366,0.606
0.002,0.002,0.026,0.002,99.681,0.281,0.006
0.034,0.034,0.54,60.363,38.422,0.523,0.084
0,0,0.001,0.23,99.744,0.022,0.002
0.327,0.207,0.136,0.048,89.574,9.66,0.048
0,0,0.012,99.987,0,0,0
0.019,0.222,0.005,89.33,9.7,0.719,0.005
0.436,0.28,0.035,0.035,92.299,6.83,0.084
0.025,0.025,18.084,3.314,77.501,1.026,0.025
0,0,0.005,99.875,0,0.003,0.116
0.046,0.046,0.129,3.24,26.451,0.082,70.005
0.127,0.014,0.014,0.176,44.2,55.456,0.014
0.034,0.015,0.015,56.295,38.89,0.02,4.73
0.002,0.002,0.002,1.211,98.728,0.002,0.055
0.038,8.667,0.581,0.384,90.127,0.178,0.024
0.005,1.371,0.026,0.004,98.511,0.078,0.004
0,0,0,99.998,0.001,0,0.001
0.005,0.004,0.004,2.155,97.434,0.348,0.05
0.018,6.319,0.018,53.338,0.64,39.648,0.018
0.029,0.029,0.996,0.029,90.563,0.18,8.175
0.009,77.243,0.009,0.029,1.033,0.559,21.117
0,0.001,0,99.969,0.03,0,0
0.001,0.001,0.002,0.009,99.974,0.012,0.001
0,0.007,0,99.993,0,0,0
0,0.001,0,0.005,99.777,0.214,0.002
0.02,96.06,3.355,0.03,0.393,0.129,0.013
0.009,0.009,0.026,41.163,0.218,0.009,58.566
0.004,0.012,0.004,78.835,20.777,0.364,0.004
0.003,0.003,0.007,99.86,0.014,0.003,0.111
0,0,0,0.004,99.994,0.001,0
0.002,0.023,0.002,96.71,3.242,0.019,0.002
0,0,0,0,100,0,0
0.075,0.003,0.002,99.098,0.008,0.813,0.002
0.2,0.092,0.001,99.694,0.001,0.001,0.011
0,0,0,0,99.998,0,0.002
0,0,0,0.001,99.997,0.001,0
